period,total_value,differenced
2019-09-23,576990,75527.0
2019-09-24,629833,52843.0
2019-09-25,653085,23252.0
2019-09-26,594641,-58444.0
2019-09-27,551218,-43423.0
2019-09-28,465538,-85680.0
2019-09-29,443213,-22325.0
2019-09-30,497029,53816.0
2019-10-01,488745,-8284.0
2019-10-02,495540,6795.0
2019-10-03,469599,-25941.0
2019-10-04,461441,-8158.0
2019-10-05,555828,94387.0
2019-10-06,577725,21897.0
2019-10-07,598640,20915.0
2019-10-08,511197,-87443.0
2019-10-09,495377,-15820.0
2019-10-10,487504,-7873.0
2019-10-11,468368,-19136.0
2019-10-12,419343,-49025.0
2019-10-13,395563,-23780.0
2019-10-14,438194,42631.0
2019-10-15,488922,50728.0
2019-10-16,489200,278.0
2019-10-17,477693,-11507.0
2019-10-18,475583,-2110.0
2019-10-19,426246,-49337.0
2019-10-20,419372,-6874.0
2019-10-21,495298,75926.0
2019-10-22,517969,22671.0
2019-10-23,531161,13192.0
2019-10-24,543211,12050.0
2019-10-25,530568,-12643.0
2019-10-26,442421,-88147.0
2019-10-27,410105,-32316.0
2019-10-28,464209,54104.0
2019-10-29,503086,38877.0
2019-10-30,519189,16103.0
2019-10-31,516950,-2239.0
2019-11-01,504162,-12788.0
2019-11-02,448813,-55349.0
2019-11-03,450732,1919.0
2019-11-04,499264,48532.0
2019-11-05,504680,5416.0
2019-11-06,499264,-5416.0
2019-11-07,489818,-9446.0
2019-11-08,476545,-13273.0
2019-11-09,431371,-45174.0
2019-11-10,415203,-16168.0
2019-11-11,442334,27131.0
2019-11-12,453495,11161.0
2019-11-13,445021,-8474.0
2019-11-14,445268,247.0
2019-11-15,433527,-11741.0
2019-11-16,397727,-35800.0
2019-11-17,395741,-1986.0
2019-11-18,452695,56954.0
2019-11-19,455045,2350.0
2019-11-20,454558,-487.0
2019-11-21,463827,9269.0
2019-11-22,446870,-16957.0
2019-11-23,383765,-63105.0
2019-11-24,366134,-17631.0
2019-11-25,440536,74402.0
2019-11-26,453598,13062.0
2019-11-27,438313,-15285.0
2019-11-28,394719,-43594.0
2019-11-29,425902,31183.0
2019-11-30,419355,-6547.0
2019-12-01,410581,-8774.0
2019-12-02,461106,50525.0
2019-12-03,441071,-20035.0
2019-12-04,444687,3616.0
2019-12-05,448960,4273.0
2019-12-06,447228,-1732.0
2019-12-07,407124,-40104.0
2019-12-08,379020,-28104.0
2019-12-09,437195,58175.0
2019-12-10,445752,8557.0
2019-12-11,469984,24232.0
2019-12-12,429838,-40146.0
2019-12-13,432301,2463.0
2019-12-14,425274,-7027.0
2019-12-15,416897,-8377.0
2019-12-16,465984,49087.0
2019-12-17,486214,20230.0
2019-12-18,488367,2153.0
2019-12-19,430541,-57826.0
2019-12-20,431358,817.0
2019-12-21,395803,-35555.0
2019-12-22,412755,16952.0
2019-12-23,442535,29780.0
2019-12-24,448494,5959.0
2019-12-25,416925,-31569.0
2019-12-26,438831,21906.0
2019-12-27,447171,8340.0
2019-12-28,404084,-43087.0
2019-12-29,401417,-2667.0
2019-12-30,431051,29634.0
2019-12-31,403586,-27465.0
2020-01-01,374540,-29046.0
2020-01-02,408872,34332.0
2020-01-03,415516,6644.0
2020-01-04,372909,-42607.0
2020-01-05,379819,6910.0
2020-01-06,432251,52432.0
2020-01-07,436625,4374.0
2020-01-08,428183,-8442.0
2020-01-09,453271,25088.0
2020-01-10,450430,-2841.0
2020-01-11,412566,-37864.0
2020-01-12,409493,-3073.0
2020-01-13,478991,69498.0
2020-01-14,489132,10141.0
2020-01-15,479638,-9494.0
2020-01-16,477164,-2474.0
2020-01-17,456056,-21108.0
2020-01-18,410339,-45717.0
2020-01-19,389275,-21064.0
2020-01-20,424266,34991.0
2020-01-21,443958,19692.0
2020-01-22,436841,-7117.0
2020-01-23,427918,-8923.0
2020-01-24,409119,-18799.0
2020-01-25,335210,-73909.0
2020-01-26,368318,33108.0
2020-01-27,421262,52944.0
2020-01-28,427135,5873.0
2020-01-29,406024,-21111.0
2020-01-30,402540,-3484.0
2020-01-31,388325,-14215.0
2020-02-01,353385,-34940.0
2020-02-02,379973,26588.0
2020-02-03,437507,57534.0
2020-02-04,458741,21234.0
2020-02-05,430476,-28265.0
2020-02-06,408644,-21832.0
2020-02-07,398839,-9805.0
2020-02-08,370925,-27914.0
2020-02-09,385943,15018.0
2020-02-10,442457,56514.0
2020-02-11,428571,-13886.0
2020-02-12,442576,14005.0
2020-02-13,434371,-8205.0
2020-02-14,400358,-34013.0
2020-02-15,377576,-22782.0
2020-02-16,366558,-11018.0
2020-02-17,426470,59912.0
2020-02-18,432225,5755.0
2020-02-19,458131,25906.0
2020-02-20,436477,-21654.0
2020-02-21,403217,-33260.0
2020-02-22,369294,-33923.0
2020-02-23,363340,-5954.0
2020-02-24,398668,35328.0
2020-02-25,433280,34612.0
2020-02-26,414142,-19138.0
2020-02-27,407625,-6517.0
2020-02-28,402314,-5311.0
2020-02-29,351495,-50819.0
2020-03-01,351220,-275.0
2020-03-02,405425,54205.0
2020-03-03,411412,5987.0
2020-03-04,422833,11421.0
2020-03-05,450539,27706.0
2020-03-06,443266,-7273.0
2020-03-07,405384,-37882.0
2020-03-08,398508,-6876.0
2020-03-09,446733,48225.0
2020-03-10,466061,19328.0
2020-03-11,436474,-29587.0
2020-03-12,464006,27532.0
2020-03-13,505319,41313.0
2020-03-14,465931,-39388.0
2020-03-15,452392,-13539.0
2020-03-16,498125,45733.0
2020-03-17,504049,5924.0
2020-03-18,512544,8495.0
2020-03-19,483924,-28620.0
2020-03-20,443402,-40522.0
2020-03-21,395066,-48336.0
2020-03-22,390893,-4173.0
2020-03-23,426366,35473.0
2020-03-24,445313,18947.0
2020-03-25,430310,-15003.0
2020-03-26,428432,-1878.0
2020-03-27,423414,-5018.0
2020-03-28,378207,-45207.0
2020-03-29,355449,-22758.0
2020-03-30,391241,35792.0
2020-03-31,383498,-7743.0
2020-04-01,394402,10904.0
2020-04-02,409070,14668.0
2020-04-03,392008,-17062.0
2020-04-04,405018,13010.0
2020-04-05,377638,-27380.0
2020-04-06,411118,33480.0
2020-04-07,399202,-11916.0
2020-04-08,378725,-20477.0
2020-04-09,381887,3162.0
2020-04-10,370514,-11373.0
2020-04-11,364349,-6165.0
2020-04-12,381077,16728.0
2020-04-13,434688,53611.0
2020-04-14,397228,-37460.0
2020-04-15,397833,605.0
2020-04-16,399536,1703.0
2020-04-17,386197,-13339.0
2020-04-18,362119,-24078.0
2020-04-19,358908,-3211.0
2020-04-20,393626,34718.0
2020-04-21,395303,1677.0
2020-04-22,404806,9503.0
2020-04-23,435310,30504.0
2020-04-24,462712,27402.0
2020-04-25,448433,-14279.0
2020-04-26,432783,-15650.0
2020-04-27,464958,32175.0
2020-04-28,466682,1724.0
2020-04-29,443448,-23234.0
2020-04-30,446496,3048.0
2020-05-01,448090,1594.0
2020-05-02,419147,-28943.0
2020-05-03,380320,-38827.0
2020-05-04,423196,42876.0
2020-05-05,443271,20075.0
2020-05-06,461153,17882.0
2020-05-07,447963,-13190.0
2020-05-08,439257,-8706.0
2020-05-09,409725,-29532.0
2020-05-10,391553,-18172.0
2020-05-11,417358,25805.0
2020-05-12,399537,-17821.0
2020-05-13,392747,-6790.0
2020-05-14,391865,-882.0
2020-05-15,412099,20234.0
2020-05-16,373445,-38654.0
2020-05-17,370280,-3165.0
2020-05-18,387979,17699.0
2020-05-19,394330,6351.0
2020-05-20,382861,-11469.0
2020-05-21,384529,1668.0
2020-05-22,390834,6305.0
2020-05-23,370306,-20528.0
2020-05-24,376385,6079.0
2020-05-25,422074,45689.0
2020-05-26,522742,100668.0
